frequency,monetary,recency,customer_tenure,avg_order_value,std_order_value,max_order_value,min_order_value,cv_order_value,avg_days_between_txns,recent_spend_90d,historical_spend_rest,purchase_rate,months_with_purchase,spend_trend,y_true,y_pred_best,predicted_clv,segment,segment_label,segment_emoji
14.0,4265.0,8.0,336.0,304.6428571428572,234.60715922673705,912.54,81.13,0.7701055636985505,25.23076923076923,1391.38,2873.62,0.0426829268292682,9.0,-0.7252761279025276,1046.63,1397.7844465697538,1397.7844465697538,HIGH,High Value,💎
3.0,84.92,146.0,284.0,28.30666666666667,7.274780638159018,36.65,23.29,0.25699884496558,69.0,0.0,84.92,0.0217391304347826,3.0,-5.0,0.0,4.536104972282027,4.536104972282027,MEDIUM,Medium Value,⭐
1.0,23.21,115.0,115.0,23.21,0.0,23.21,23.21,0.0,365.0,0.0,23.21,1.0,1.0,-5.0,0.0,1.526883174437158,1.526883174437158,LOW,Low Value,🌱
1.0,42.96,321.0,321.0,42.96,0.0,42.96,42.96,0.0,365.0,0.0,42.96,1.0,1.0,-5.0,0.0,0.2386615151487847,0.2386615151487847,LOW,Low Value,🌱
3.0,296.6,207.0,235.0,98.86666666666667,79.32411508068233,181.27,23.03,0.802334272562532,14.0,0.0,296.6,0.1071428571428571,2.0,-5.0,0.0,0.6637541555231166,0.6637541555231166,LOW,Low Value,🌱
1.0,72.11,335.0,335.0,72.11,0.0,72.11,72.11,0.0,365.0,0.0,72.11,1.0,1.0,-5.0,0.0,0.3296302848166705,0.3296302848166705,LOW,Low Value,🌱
4.0,122.1,286.0,355.0,30.525,16.742876097015113,52.2,17.29,0.5484971694353845,23.0,0.0,122.1,0.0579710144927536,3.0,-5.0,6.41,1.0873784605987324,1.0873784605987324,LOW,Low Value,🌱
1.0,49.24,265.0,265.0,49.24,0.0,49.24,49.24,0.0,365.0,0.0,49.24,1.0,1.0,-5.0,0.0,0.3247716064177657,0.3247716064177657,LOW,Low Value,🌱
2.0,94.97,4.0,5.0,47.485,17.882730496207785,60.13,34.84,0.3765974622766723,1.0,94.97,0.0,2.0,1.0,5.0,0.0,3.0583217966211333,3.0583217966211333,LOW,Low Value,🌱
1.0,40.91,37.0,37.0,40.91,0.0,40.91,40.91,0.0,365.0,40.91,0.0,1.0,1.0,5.0,0.0,2.821430116430188,2.821430116430188,LOW,Low Value,🌱
19.0,3874.6,27.0,361.0,203.92631578947368,151.759974565486,662.04,86.33,0.7441902433139509,18.55555555555556,107.53,3767.07,0.0568862275449101,8.0,-3.5562738773144886,232.9,110.30767701565463,110.30767701565463,MEDIUM,Medium Value,⭐
14.0,10806.03,5.0,282.0,771.8592857142858,483.83782946616265,2038.18,148.18,0.6268471966602237,21.307692307692307,2193.76,8612.27,0.0505415162454873,8.0,-1.3675706242619978,5180.4400000000005,1790.7530990498144,1790.7530990498144,HIGH,High Value,💎
28.0,15934.172369968932,8.0,339.0,585.8182142857142,512.4042028556172,2554.43,161.03,0.8746812413137232,12.25925925925926,3179.21,13223.7,0.0845921450151057,12.0,-1.4253776970584162,898.91,1507.883856304502,1507.883856304502,HIGH,High Value,💎
34.0,8345.65,28.0,344.0,245.46029411764704,319.7598754698859,1942.4,27.42,1.3026949088418665,9.575757575757576,1785.62,6560.030000000001,0.1075949367088607,12.0,-1.3012290746662023,1554.2199999999998,932.207631046374,932.207631046374,HIGH,High Value,💎
2.0,127.16,308.0,350.0,63.58,11.059150057757613,71.4,55.76,0.1739407055325198,42.0,0.0,127.16,0.0476190476190476,2.0,-5.0,213.92,0.3225625900451354,0.3225625900451354,LOW,Low Value,🌱
5.0,445.37,0.0,186.0,89.074,54.53191432546633,171.38,34.68,0.6122091106884875,46.5,114.31,331.06,0.0268817204301075,3.0,-1.0633798442875104,149.46,88.94775416496945,88.94775416496945,MEDIUM,Medium Value,⭐
14.0,6433.98,1.0,204.0,459.57,304.60172546104553,1269.78,187.72,0.6627972353744708,15.615384615384617,2438.5,3995.48,0.0689655172413793,7.0,-0.49378046621525,458.27,1336.0204306131204,1336.0204306131204,HIGH,High Value,💎
2.0,148.79,69.0,73.0,74.395,11.179358210559318,82.3,66.49,0.1502702898119405,4.0,148.79,0.0,0.5,1.0,5.0,0.0,10.340539290287436,10.340539290287436,MEDIUM,Medium Value,⭐
1.0,42.28,21.0,21.0,42.28,0.0,42.28,42.28,0.0,365.0,42.28,0.0,1.0,1.0,5.0,0.0,3.801355357211672,3.801355357211672,LOW,Low Value,🌱
1.0,73.94,26.0,26.0,73.94,0.0,73.94,73.94,0.0,365.0,73.94,0.0,1.0,1.0,5.0,49.16,4.153972584954792,4.153972584954792,MEDIUM,Medium Value,⭐
1.0,38.97,225.0,225.0,38.97,0.0,38.97,38.97,0.0,365.0,0.0,38.97,1.0,1.0,-5.0,0.0,0.2708491695213833,0.2708491695213833,LOW,Low Value,🌱
3.0,743.59,3.0,93.0,247.8633333333333,238.9019862481962,505.04,32.85,0.9638456121580288,45.0,537.89,205.7,0.0333333333333333,2.0,0.9612322793088904,0.0,176.32271508460806,176.32271508460806,MEDIUM,Medium Value,⭐
1.0,106.97,190.0,190.0,106.97,0.0,106.97,106.97,0.0,365.0,0.0,106.97,1.0,1.0,-5.0,0.0,0.4343622192585222,0.4343622192585222,LOW,Low Value,🌱
14.0,3110.2,50.0,278.0,222.15714285714284,124.63741822574,491.27,53.37,0.561032684444846,17.53846153846154,414.02,2696.18,0.0614035087719298,8.0,-1.8736749091006155,469.32,321.8795693125954,321.8795693125954,HIGH,High Value,💎
2.0,375.34,14.0,106.0,187.67,127.92975885227018,278.13,97.21,0.6816739961222902,92.0,97.21,278.13,0.0217391304347826,2.0,-1.0512083519339417,0.0,9.04622319290417,9.04622319290417,MEDIUM,Medium Value,⭐
3.0,209.81,8.0,58.0,69.93666666666665,82.46471508065333,165.14,20.7,1.179134193994376,25.0,209.81,0.0,0.06,2.0,5.0,187.38,16.32636552085483,16.32636552085483,MEDIUM,Medium Value,⭐
1.0,28.81,193.0,193.0,28.81,0.0,28.81,28.81,0.0,365.0,0.0,28.81,1.0,1.0,-5.0,0.0,0.2894626727370726,0.2894626727370726,LOW,Low Value,🌱
11.0,1016.51,32.0,360.0,92.41,81.38580318458497,266.86,22.14,0.8807034215407962,32.8,271.08000000000004,745.4300000000001,0.0335365853658536,7.0,-1.011544905380272,191.15,153.2608087818913,153.2608087818913,MEDIUM,Medium Value,⭐
6.0,804.51,74.0,170.0,134.085,112.2593792518024,303.92,29.24,0.8372254857128119,19.2,273.25,531.26,0.0625,3.0,-0.6648626392043312,0.0,37.96066412707327,37.96066412707327,MEDIUM,Medium Value,⭐
1.0,33.5,164.0,164.0,33.5,0.0,33.5,33.5,0.0,365.0,0.0,33.5,1.0,1.0,-5.0,0.0,1.6298366151727204,1.6298366151727204,LOW,Low Value,🌱
2.0,140.52,284.0,333.0,70.26,70.8662416105158,120.37,20.15,1.0086285455524593,49.0,0.0,140.52,0.0408163265306122,2.0,-5.0,0.0,0.175239390220044,0.175239390220044,LOW,Low Value,🌱
1.0,80.25,297.0,297.0,80.25,0.0,80.25,80.25,0.0,365.0,0.0,80.25,1.0,1.0,-5.0,0.0,0.2807598369157356,0.2807598369157356,LOW,Low Value,🌱
5.0,1085.72,27.0,171.0,217.144,151.554444936465,424.39,67.87,0.6979444282893609,36.0,365.95,719.77,0.0347222222222222,5.0,-0.6764336612069023,523.91,111.55998288935348,111.55998288935348,MEDIUM,Medium Value,⭐
2.0,314.85,3.0,9.0,157.425,10.811662684342316,165.07,149.78,0.0686781812567401,6.0,314.85,0.0,0.3333333333333333,1.0,5.0,397.29,17.79007466842537,17.79007466842537,MEDIUM,Medium Value,⭐
1.0,286.16,79.0,79.0,286.16,0.0,286.16,286.16,0.0,365.0,286.16,0.0,1.0,1.0,5.0,1224.8000000000002,16.995557083196257,16.995557083196257,MEDIUM,Medium Value,⭐
15.0,1138.45,57.0,363.0,75.89666666666668,30.882923775970127,150.72,39.81,0.4069075116514136,21.857142857142858,180.11,958.34,0.0490196078431372,8.0,-1.671630337035221,542.74,127.0530892162736,127.0530892162736,MEDIUM,Medium Value,⭐
19.0,8957.84,8.0,358.0,471.4652631578948,458.0083723321177,1883.57,57.34,0.9714573015716106,19.444444444444443,2146.69,6811.15,0.0542857142857142,10.0,-1.1546335352448829,1730.99,1275.8426045676738,1275.8426045676738,HIGH,High Value,💎
11.0,2032.99,13.0,333.0,184.8172727272727,138.5504975155924,453.83,55.32,0.7496620606454123,32.0,615.06,1417.9299999999998,0.034375,6.0,-0.8352325959438229,971.83,827.9466329936025,827.9466329936025,HIGH,High Value,💎
1.0,34.9,207.0,207.0,34.9,0.0,34.9,34.9,0.0,365.0,0.0,34.9,1.0,1.0,-5.0,0.0,0.2865555658549686,0.2865555658549686,LOW,Low Value,🌱
3.0,50.91,42.0,189.0,16.97,8.855952800235558,25.75,8.04,0.5218593282401626,73.5,25.75,25.16,0.0204081632653061,3.0,0.02317828463676,86.05000000000001,8.128852270456118,8.128852270456118,MEDIUM,Medium Value,⭐
2.0,101.52,6.0,14.0,50.760000000000005,29.967185386685887,71.95,29.57,0.5903700824800213,8.0,101.52,0.0,0.25,1.0,5.0,9.48,4.088188531636958,4.088188531636958,LOW,Low Value,🌱
6.0,328.26,84.0,302.0,54.71,22.919143090438617,87.53,26.82,0.4189205463432392,43.6,26.82,301.44,0.0275229357798165,6.0,-2.4193891460260653,52.69,18.05215188659625,18.05215188659625,MEDIUM,Medium Value,⭐
2.0,198.63,4.0,15.0,99.315,76.45945624970138,153.38,45.25,0.7698681593888272,11.0,198.63,0.0,0.1818181818181818,1.0,5.0,97.01,11.72484583561773,11.72484583561773,MEDIUM,Medium Value,⭐
1.0,44.95,55.0,55.0,44.95,0.0,44.95,44.95,0.0,365.0,44.95,0.0,1.0,1.0,5.0,0.0,2.821430116430188,2.821430116430188,LOW,Low Value,🌱
2.0,79.00999999999999,2.0,40.0,39.505,17.543319241238237,51.91,27.1,0.4440784518728829,38.0,79.00999999999999,0.0,0.0526315789473684,2.0,5.0,546.23,6.399342290513999,6.399342290513999,MEDIUM,Medium Value,⭐
9.0,526.76,4.0,235.0,58.528888888888886,72.23489330725913,239.07,8.38,1.2341750318272688,28.875,100.71,426.05,0.0389610389610389,5.0,-1.4423040283022623,33.81,52.55164264006332,52.55164264006332,MEDIUM,Medium Value,⭐
21.0,11308.5,7.0,363.0,538.5,632.8425959589003,2736.07,86.73,1.1751951642690814,17.8,869.56,10438.94,0.0589887640449438,10.0,-2.485309932914745,1381.32,1291.6579134834662,1291.6579134834662,HIGH,High Value,💎
1.0,31.22,14.0,14.0,31.22,0.0,31.22,31.22,0.0,365.0,31.22,0.0,1.0,1.0,5.0,0.0,3.721900582431074,3.721900582431074,LOW,Low Value,🌱
2.0,303.56,275.0,326.0,151.78,51.84506919659766,188.44,115.12,0.3415803742034369,51.0,0.0,303.56,0.0392156862745098,2.0,-5.0,0.0,1.3897650338576253,1.3897650338576253,LOW,Low Value,🌱
1.0,27.79,25.0,25.0,27.79,0.0,27.79,27.79,0.0,365.0,27.79,0.0,1.0,1.0,5.0,0.0,3.613390807867757,3.613390807867757,LOW,Low Value,🌱
1.0,55.13,239.0,239.0,55.13,0.0,55.13,55.13,0.0,365.0,0.0,55.13,1.0,1.0,-5.0,0.0,0.3641818386734787,0.3641818386734787,LOW,Low Value,🌱
3.0,148.32,1.0,196.0,49.44,16.943078232717927,63.77,30.74,0.3426998024417056,97.5,84.55,63.77,0.0153846153846153,2.0,0.2820563610366607,69.48,9.513866882561516,9.513866882561516,MEDIUM,Medium Value,⭐
2.0,104.58,62.0,101.0,52.290000000000006,19.091883092036785,65.79,38.79,0.3651153775489918,39.0,65.79,38.79,0.0512820512820512,2.0,0.5282947899010444,0.0,4.000506717166386,4.000506717166386,LOW,Low Value,🌱
10.0,852.7,9.0,325.0,85.27000000000001,41.87970656800525,153.8,31.03,0.4911423310426322,35.111111111111114,82.89,769.8100000000001,0.0316455696202531,5.0,-2.2286185384612693,63.1,55.652433050485605,55.652433050485605,MEDIUM,Medium Value,⭐
2.0,94.44,52.0,128.0,47.22,5.911412690719537,51.4,43.04,0.1251887482151532,76.0,43.04,51.4,0.0263157894736842,2.0,-0.177504477740424,67.41,4.569968029819074,4.569968029819074,MEDIUM,Medium Value,⭐
2.0,224.36,186.0,215.0,112.18,74.44420192331972,164.82,59.54,0.6636138520531265,29.0,0.0,224.36,0.0689655172413793,2.0,-5.0,89.15,0.2854929156755012,0.2854929156755012,LOW,Low Value,🌱
2.0,87.41,20.0,130.0,43.705,28.74389065523316,64.03,23.38,0.6576796855104258,110.0,64.03,23.38,0.0181818181818181,2.0,1.0074436143590677,115.11,4.670942279700555,4.670942279700555,MEDIUM,Medium Value,⭐
4.0,676.13,276.0,321.0,169.0325,107.2598829556823,295.18,45.75,0.634551834444159,15.0,0.0,676.13,0.0888888888888888,2.0,-5.0,0.0,2.0191938702147567,2.0191938702147567,LOW,Low Value,🌱
2.0,44.97,47.0,135.0,22.485,6.837722574073916,27.32,17.65,0.3041015154135608,88.0,27.32,17.65,0.0227272727272727,2.0,0.4368631982556494,0.0,4.197300720429643,4.197300720429643,MEDIUM,Medium Value,⭐
16.0,6294.45,15.0,336.0,393.403125,350.51039078689706,1440.28,89.76,0.8909700216206902,21.4,2753.9300000000003,3540.52,0.0498442367601246,9.0,-0.2512445459313635,1307.3200000000002,974.6858953459844,974.6858953459844,HIGH,High Value,💎
3.0,450.19,7.0,28.0,150.06333333333333,112.72672989727562,254.24,30.39,0.7511943616957881,10.5,450.19,0.0,0.1428571428571428,1.0,5.0,1758.95,34.90904431007301,34.90904431007301,MEDIUM,Medium Value,⭐
1.0,89.73,349.0,349.0,89.73,0.0,89.73,89.73,0.0,365.0,0.0,89.73,1.0,1.0,-5.0,0.0,0.1675648398523092,0.1675648398523092,LOW,Low Value,🌱
3.0,762.22,47.0,221.0,254.07333333333327,109.21848851423158,376.97,168.11,0.4298699398371792,87.0,545.08,217.14,0.0172413793103448,3.0,0.9203874953561686,0.0,219.88900511079387,219.88900511079387,MEDIUM,Medium Value,⭐
1.0,110.59,7.0,7.0,110.59,0.0,110.59,110.59,0.0,365.0,110.59,0.0,1.0,1.0,5.0,166.49,13.17856999622968,13.17856999622968,MEDIUM,Medium Value,⭐
5.0,422.28,61.0,246.0,84.45599999999999,39.24601546654131,140.67,45.66,0.4646918569023078,46.25,241.96,180.32,0.027027027027027,4.0,0.294037960172076,280.65,40.2878815082176,40.2878815082176,MEDIUM,Medium Value,⭐
2.0,150.2,21.0,165.0,75.1,31.650099525909862,97.48,52.72,0.4214394078017293,144.0,52.72,97.48,0.0138888888888888,2.0,-0.6146436290710598,514.97,6.277371899346523,6.277371899346523,MEDIUM,Medium Value,⭐
12.0,1023.5,34.0,318.0,85.29166666666667,55.95972899949543,236.37,32.87,0.6560984347766928,25.818181818181817,63.62,959.88,0.0422535211267605,7.0,-2.713865713920044,151.18,58.85092178369733,58.85092178369733,MEDIUM,Medium Value,⭐
14.0,4810.52,1.0,334.0,343.60857142857145,236.64185473661843,876.65,81.59,0.6886960175433545,25.615384615384617,1975.14,2835.38,0.042042042042042,10.0,-0.3615365314745417,2321.58,1522.0849979123318,1522.0849979123318,HIGH,High Value,💎
1.0,131.27,165.0,165.0,131.27,0.0,131.27,131.27,0.0,365.0,0.0,131.27,1.0,1.0,-5.0,0.0,1.876946722559816,1.876946722559816,LOW,Low Value,🌱
1.0,39.84,178.0,178.0,39.84,0.0,39.84,39.84,0.0,365.0,0.0,39.84,1.0,1.0,-5.0,0.0,0.4312250678592518,0.4312250678592518,LOW,Low Value,🌱
7.0,489.34,202.0,341.0,69.9057142857143,67.2714267865991,201.47,17.62,0.9623165641602844,23.166666666666668,0.0,489.34,0.0503597122302158,5.0,-5.0,0.0,5.940325294773887,5.940325294773887,MEDIUM,Medium Value,⭐
1.0,19.07,69.0,69.0,19.07,0.0,19.07,19.07,0.0,365.0,19.07,0.0,1.0,1.0,5.0,0.0,1.2160490925818974,1.2160490925818974,LOW,Low Value,🌱
11.0,996.59,1.0,227.0,90.59909090909092,40.7950833936016,170.56,13.59,0.4502813768245894,22.6,482.74,513.85,0.0486725663716814,7.0,-0.0624530622176259,694.1,235.34599041116303,235.34599041116303,HIGH,High Value,💎
10.0,555.54,68.0,344.0,55.554,14.7689796533139,78.85,36.98,0.2658490775338212,30.666666666666668,74.68,480.86,0.036231884057971,7.0,-1.8623525380037824,768.1,35.38645642720281,35.38645642720281,MEDIUM,Medium Value,⭐
6.0,538.62,114.0,311.0,89.77,40.22451043828874,143.65,34.25,0.4480841087032275,39.4,0.0,538.62,0.0304568527918781,5.0,-5.0,0.0,17.605360863340927,17.605360863340927,MEDIUM,Medium Value,⭐
3.0,56.63,42.0,170.0,18.87666666666667,12.332730165431066,33.06,10.68,0.6533319882799434,64.0,43.74,12.89,0.0234375,3.0,1.2217564838948554,0.0,6.253591964941416,6.253591964941416,MEDIUM,Medium Value,⭐
2.0,44.16,7.0,267.0,22.08,14.877526676164962,32.6,11.56,0.6738010270002247,260.0,32.6,11.56,0.0076923076923076,2.0,1.0367055980556397,0.0,5.335728559927095,5.335728559927095,MEDIUM,Medium Value,⭐
20.0,4548.6,0.0,302.0,227.43,105.6433066602199,448.23,80.93,0.4645091090015385,15.894736842105264,1027.45,3521.15,0.0662251655629139,8.0,-1.2317069471105966,574.05,1585.497128100133,1585.497128100133,HIGH,High Value,💎
11.0,4370.18,10.0,348.0,397.2890909090909,331.19805728459653,1283.84,127.6,0.8336449826164052,33.8,1794.0,2576.18,0.0325443786982248,7.0,-0.3618597486988151,1549.63,1106.816444360242,1106.816444360242,HIGH,High Value,💎
2.0,254.2,142.0,225.0,127.1,32.08850573024552,149.79,104.41,0.2524666068469356,83.0,0.0,254.2,0.0240963855421686,2.0,-5.0,0.0,2.7224763928098787,2.7224763928098787,LOW,Low Value,🌱
2.0,104.0,227.0,267.0,52.0,23.843640661610383,68.86,35.14,0.458531551184815,40.0,0.0,104.0,0.05,2.0,-5.0,59.0,0.531465313512274,0.531465313512274,LOW,Low Value,🌱
1.0,18.06,161.0,161.0,18.06,0.0,18.06,18.06,0.0,365.0,0.0,18.06,1.0,1.0,-5.0,0.0,1.526883174437158,1.526883174437158,LOW,Low Value,🌱
1.0,268.76,61.0,61.0,268.76,0.0,268.76,268.76,0.0,365.0,268.76,0.0,1.0,1.0,5.0,0.0,19.89680276923037,19.89680276923037,MEDIUM,Medium Value,⭐
8.0,655.76,3.0,203.0,81.97,63.18890408924656,218.35,13.66,0.7708784200225273,28.571428571428573,278.76,377.0,0.04,3.0,-0.3018930560852499,449.0,70.05282868320353,70.05282868320353,MEDIUM,Medium Value,⭐
15.0,3161.83,0.0,204.0,210.78866666666667,213.1987917369497,879.38,38.77,1.0114338456065777,14.571428571428571,1415.01,1746.82,0.0735294117647058,7.0,-0.2106602596234852,1760.92,840.9607343391917,840.9607343391917,HIGH,High Value,💎
3.0,96.99,207.0,342.0,32.33,19.45339816073274,53.51,15.26,0.6017135218290361,67.5,0.0,96.99,0.0222222222222222,3.0,-5.0,0.0,0.9836116976716942,0.9836116976716942,LOW,Low Value,🌱
4.0,542.49,130.0,190.0,135.6225,124.00774152581496,320.15,58.27,0.9143596492161328,20.0,0.0,542.49,0.0666666666666666,3.0,-5.0,203.75,7.556452276477541,7.556452276477541,MEDIUM,Medium Value,⭐
2.0,171.82,150.0,185.0,85.91,96.42108068259762,154.09,17.73,1.1223499090047449,35.0,0.0,171.82,0.0571428571428571,2.0,-5.0,0.0,1.214333964221903,1.214333964221903,LOW,Low Value,🌱
1.0,17.43,325.0,325.0,17.43,0.0,17.43,17.43,0.0,365.0,0.0,17.43,1.0,1.0,-5.0,0.0,0.1901701130002462,0.1901701130002462,LOW,Low Value,🌱
10.0,454.45,66.0,363.0,45.445,19.568174416638872,73.16,16.25,0.4305902611208905,33.0,18.96,435.49,0.0336700336700336,9.0,-3.134089892125685,265.04,23.60674609923194,23.60674609923194,MEDIUM,Medium Value,⭐
1.0,34.82,315.0,315.0,34.82,0.0,34.82,34.82,0.0,365.0,0.0,34.82,1.0,1.0,-5.0,0.0,0.2386615151487847,0.2386615151487847,LOW,Low Value,🌱
2.0,111.96,23.0,121.0,55.98,5.7134227919873055,60.02,51.94,0.1020618576632244,98.0,60.02,51.94,0.0204081632653061,2.0,0.1445860419529101,0.0,6.295207220403813,6.295207220403813,MEDIUM,Medium Value,⭐
3.0,145.34,174.0,187.0,48.446666666666665,5.504546605610068,53.25,42.44,0.1136207500813967,6.5,0.0,145.34,0.2307692307692307,2.0,-5.0,0.0,1.691915861591574,1.691915861591574,LOW,Low Value,🌱
18.0,2228.7,8.0,336.0,123.81666666666666,74.92222594915658,277.43,36.38,0.6051061457732394,19.294117647058822,626.87,1601.83,0.0548780487804878,10.0,-0.938161851091515,490.11,1197.1856762601608,1197.1856762601608,HIGH,High Value,💎
7.0,689.1700000000001,56.0,331.0,98.45285714285716,41.706231634407565,165.86,58.93,0.4236162651317569,45.833333333333336,308.95,380.22,0.0254545454545454,6.0,-0.2075699743448512,222.26,81.9864861384253,81.9864861384253,MEDIUM,Medium Value,⭐
